cell_id	parent_id	cell_type	cell_type_name	x	y	angle	shape_path	size_scale	cell_cycle_phase	ecDNA_count	ecDNA_cargo	O2_local	glucose_local	is_hypoxic	is_quiescent	generation	time_born_hr	migration_rate	VEGF_secretion
47	-1	4	Endothelial	584	75	5.8925	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.4856	S	0		38.25	4.2055	False	False	0	0.0	10.00	0.00
48	-1	4	Endothelial	575	169	1.6775	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.6447	G1	0		37.13	3.6447	False	False	0	0.0	10.00	0.00
49	-1	4	Endothelial	615	68	2.7578	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9308	G1	0		37.48	4.2934	False	False	0	0.0	10.00	0.00
50	-1	4	Endothelial	620	75	5.6307	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.1777	S	0		37.94	4.2900	False	False	0	0.0	10.00	0.00
51	-1	4	Endothelial	626	67	0.6822	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8274	G1	0		37.52	4.2218	False	False	0	0.0	10.00	0.00
52	-1	4	Endothelial	663	59	4.5678	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9910	G1	0		37.60	4.3001	False	False	0	0.0	10.00	0.00
53	-1	4	Endothelial	656	75	5.7555	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.1638	G1	0		38.27	4.2396	False	False	0	0.0	10.00	0.00
54	-1	4	Endothelial	672	89	3.4862	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8391	G1	0		36.91	3.7402	False	False	0	0.0	10.00	0.00
55	-1	4	Endothelial	670	74	5.0784	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8631	G1	0		37.98	4.3160	False	False	0	0.0	10.00	0.00
56	-1	4	Endothelial	692	75	1.8279	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.1553	S	0		38.17	4.1853	False	False	0	0.0	10.00	0.00
57	-1	4	Endothelial	704	75	5.8813	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9932	G1	0		38.26	4.2521	False	False	0	0.0	10.00	0.00
58	-1	4	Endothelial	726	73	2.7338	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9242	G1	0		37.57	4.0609	False	False	0	0.0	10.00	0.00
60	-1	4	Endothelial	733	68	3.2601	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9802	G1	0		37.17	4.1742	False	False	1	0.0	10.00	0.00
61	-1	4	Endothelial	774	70	4.1573	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0366	S	0		38.00	4.4261	False	False	0	0.0	10.00	0.00
62	-1	4	Endothelial	763	93	4.6922	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0715	G1	0		37.24	4.0989	False	False	0	0.0	10.00	0.00
63	-1	4	Endothelial	781	92	1.5141	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.7959	G1	0		37.00	3.9619	False	False	0	0.0	10.00	0.00
64	-1	4	Endothelial	788	75	0.9631	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.2873	S	0		38.14	4.3974	False	False	0	0.0	10.00	0.00
65	-1	4	Endothelial	832	112	5.4950	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.2436	S	0		37.66	4.2396	False	False	0	0.0	10.00	0.00
66	-1	4	Endothelial	852	34	4.8846	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8509	G1	0		37.53	4.5951	False	False	0	0.0	10.00	0.00
67	-1	4	Endothelial	842	104	0.9041	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9991	G1	0		37.36	4.2426	False	False	0	0.0	10.00	0.00
68	-1	4	Endothelial	831	66	0.8283	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.2346	G1	0		37.51	4.3904	False	False	0	0.0	10.00	0.00
69	-1	4	Endothelial	817	0	3.1814	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.6583	S	0		37.97	4.9466	False	False	0	0.0	10.00	0.00
70	-1	4	Endothelial	864	56	1.2552	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.7969	G1	0		37.32	4.4219	False	False	0	0.0	10.00	0.00
71	-1	4	Endothelial	869	66	4.6432	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.1527	G1	0		37.74	4.5807	False	False	0	0.0	10.00	0.00
72	-1	4	Endothelial	878	83	1.8909	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9193	G1	0		37.03	4.0053	False	False	0	0.0	10.00	0.00
73	-1	4	Endothelial	886	92	6.0044	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0897	G1	0		37.40	4.4007	False	False	0	0.0	10.00	0.00
74	-1	4	Endothelial	889	69	0.1562	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8840	S	0		36.45	3.6833	False	False	0	0.0	10.00	0.00
75	-1	4	Endothelial	920	75	0.6654	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0294	S	0		38.16	4.6799	False	False	0	0.0	10.00	0.00
76	-1	4	Endothelial	928	66	6.0710	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0380	G1	0		35.89	3.7343	False	False	0	0.0	10.00	0.00
77	-1	4	Endothelial	868	74	5.0539	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8578	G1	0		38.38	4.5323	False	False	0	0.0	10.00	0.00
78	-1	4	Endothelial	999	186	0.1121	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9015	G1	0		37.80	4.8683	False	False	0	0.0	10.00	0.00
79	-1	4	Endothelial	961	173	5.0065	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8785	G1	0		37.50	4.5651	False	False	0	0.0	10.00	0.00
80	-1	4	Endothelial	33	215	3.8077	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9729	G1	0		37.65	4.6422	False	False	0	0.0	10.00	0.00
81	-1	4	Endothelial	12	226	2.5923	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.3685	G1	0		37.78	4.8210	False	False	0	0.0	10.00	0.00
82	-1	4	Endothelial	44	215	4.0962	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.1873	S	0		38.44	4.5542	False	False	0	0.0	10.00	0.00
83	-1	4	Endothelial	7	283	1.5572	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.7555	S	0		37.99	4.9828	False	False	0	0.0	10.00	0.00
84	-1	4	Endothelial	115	212	5.1307	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8172	S	0		36.52	3.7352	False	False	0	0.0	10.00	0.00
85	-1	4	Endothelial	104	238	3.7349	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8047	G1	0		36.64	3.8074	False	False	0	0.0	10.00	0.00
86	-1	4	Endothelial	87	234	1.9499	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.2881	G1	0		37.57	4.3030	False	False	0	0.0	10.00	0.00
87	-1	4	Endothelial	76	216	1.0401	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.1296	G1	0		38.21	4.3830	False	False	0	0.0	10.00	0.00
88	-1	4	Endothelial	140	242	0.7256	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9777	S	0		37.42	4.0657	False	False	0	0.0	10.00	0.00
89	-1	4	Endothelial	150	232	1.0973	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9556	S	0		37.44	3.8958	False	False	0	0.0	10.00	0.00
90	-1	4	Endothelial	141	252	4.2771	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0786	S	0		37.51	3.9936	False	False	0	0.0	10.00	0.00
91	-1	4	Endothelial	156	216	3.1700	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0586	G1	0		37.23	3.8711	False	False	0	0.0	10.00	0.00
92	-1	4	Endothelial	154	224	0.2732	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8797	G1	0		37.91	3.8757	False	False	0	0.0	10.00	0.00
93	-1	4	Endothelial	176	225	1.5669	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.4690	S	0		38.07	3.8605	False	False	0	0.0	10.00	0.00
94	-1	4	Endothelial	183	216	0.3095	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0643	G1	0		37.11	3.7214	False	False	0	0.0	10.00	0.00
95	-1	4	Endothelial	224	207	0.6388	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0435	S	0		37.97	3.7837	False	False	0	0.0	10.00	0.00
96	-1	4	Endothelial	212	225	5.8110	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0438	G1	0		37.69	3.5302	False	False	0	0.0	10.00	0.00
97	-1	4	Endothelial	224	225	5.6715	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.1546	S	0		37.94	3.6725	False	False	0	0.0	10.00	0.00
98	-1	4	Endothelial	223	188	4.8976	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9214	S	0		37.76	3.8776	False	False	0	0.0	10.00	0.00
99	-1	4	Endothelial	227	247	0.8454	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9513	G1	0		37.63	3.6115	False	False	0	0.0	10.00	0.00
100	-1	4	Endothelial	258	215	5.3883	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0254	S	0		34.64	2.3343	False	False	0	0.0	10.00	0.00
101	-1	4	Endothelial	274	245	4.0185	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9605	G1	0		36.65	3.2732	False	False	0	0.0	10.00	0.00
102	-1	4	Endothelial	268	235	3.0026	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9380	G1	0		37.04	3.5195	False	False	0	0.0	10.00	0.00
103	-1	4	Endothelial	296	225	2.3091	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.2879	S	0		37.85	3.4766	False	False	0	0.0	10.00	0.00
104	-1	4	Endothelial	301	232	2.3842	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9452	G1	0		37.31	3.4814	False	False	0	0.0	10.00	0.00
105	-1	4	Endothelial	358	225	5.9619	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9443	G1	0		37.75	3.3397	False	False	0	0.0	10.00	0.00
106	-1	4	Endothelial	328	234	2.0632	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.2887	S	0		37.05	3.3819	False	False	0	0.0	10.00	0.00
107	-1	4	Endothelial	334	223	4.1003	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.2907	S	0		37.68	3.4335	False	False	0	0.0	10.00	0.00
