step	total_cells	tumor_cells	necrotic_cells	immune_cells	mean_O2_mmHg	min_O2_mmHg	mean_glucose_mM	max_VEGF_nM	mean_lactate_mM
196	12768	5852	274	0	13.1282	0.0000	2.3146	4.5569	3.9029
197	12901	5979	287	0	13.0318	0.0000	2.2889	4.5647	3.9454
198	13039	6117	293	0	12.9454	0.0000	2.2636	4.5846	3.9832
199	13200	6269	307	0	12.8548	0.0000	2.2355	4.5826	4.0229
200	13340	6409	312	0	12.7514	0.0000	2.2042	4.5922	4.0689
201	13464	6524	325	0	12.6590	0.0000	2.1765	4.5879	4.1109
202	13612	6657	345	0	12.5875	0.0000	2.1534	4.6001	4.1426
203	13744	6773	366	0	12.5106	0.0000	2.1261	4.5866	4.1740
204	13902	6919	381	0	12.4445	0.0000	2.1021	4.5795	4.2000
205	14025	7033	393	0	12.3497	0.0000	2.0717	4.5684	4.2394
206	14156	7153	414	0	12.2816	0.0000	2.0486	4.5686	4.2694
207	14292	7283	425	0	12.2069	0.0000	2.0273	4.5697	4.3016
208	14447	7434	432	0	12.1212	0.0000	2.0038	4.5744	4.3400
209	14601	7590	432	0	12.0279	0.0000	1.9761	4.5901	4.3817
210	14740	7725	444	0	11.9296	0.0000	1.9493	4.6003	4.4278
211	14910	7891	452	0	11.8533	0.0000	1.9247	4.6110	4.4612
212	15067	8033	468	0	11.7536	0.0000	1.8951	4.6377	4.5047
213	15203	8155	486	0	11.6764	0.0000	1.8679	4.6698	4.5378
214	15340	8281	502	0	11.6089	0.0000	1.8450	4.7038	4.5665
215	15488	8415	527	0	11.5394	0.0000	1.8231	4.7089	4.5955
216	15624	8543	540	0	11.4678	0.0000	1.8000	4.7228	4.6256
217	15774	8679	564	0	11.4016	0.0000	1.7767	4.7552	4.6532
218	15944	8849	565	0	11.3261	0.0000	1.7531	4.7898	4.6848
219	16080	8978	577	0	11.2355	0.0000	1.7249	4.8526	4.7244
220	16229	9125	580	0	11.1656	0.0000	1.7037	4.8836	4.7560
221	16379	9268	594	0	11.0851	0.0000	1.6803	4.9097	4.7929
222	16539	9422	604	0	11.0119	0.0000	1.6573	4.9540	4.8248
223	16672	9552	617	0	10.9302	0.0000	1.6334	4.9775	4.8612
224	16794	9662	634	0	10.8674	0.0000	1.6132	5.0264	4.8890
225	16928	9790	649	0	10.8143	0.0000	1.5926	5.0461	4.9090
226	17062	9911	669	0	10.7507	0.0000	1.5728	5.0603	4.9356
227	17204	10035	695	0	10.6926	0.0000	1.5529	5.0757	4.9583
228	17342	10159	713	0	10.6375	0.0000	1.5325	5.0899	4.9783
229	17473	10283	724	0	10.5797	0.0000	1.5124	5.1466	4.9988
230	17604	10416	725	0	10.5192	0.0000	1.4932	5.1758	5.0230
231	17746	10548	736	0	10.4544	0.0000	1.4733	5.2084	5.0509
232	17889	10689	740	0	10.3881	0.0000	1.4539	5.2332	5.0792
233	18014	10815	741	0	10.3188	0.0000	1.4338	5.2568	5.1093
234	18152	10959	737	0	10.2537	0.0000	1.4167	5.2663	5.1393
235	18295	11098	748	0	10.1843	0.0000	1.3973	5.3009	5.1698
236	18417	11212	757	0	10.1244	0.0000	1.3778	5.3063	5.1942
237	18534	11322	765	0	10.0731	0.0000	1.3610	5.3608	5.2129
238	18651	11425	782	0	10.0276	0.0000	1.3456	5.3747	5.2294
239	18764	11529	799	0	9.9826	0.0000	1.3304	5.4013	5.2448
240	18894	11644	825	0	9.9389	0.0000	1.3157	5.4053	5.2603
