step	total_cells	tumor_cells	necrotic_cells	immune_cells	mean_O2_mmHg	min_O2_mmHg	mean_glucose_mM	max_VEGF_nM	mean_lactate_mM
125	63630	965	0	0	18.3594	5.1856	3.2933	1.6249	1.7333
126	63651	995	0	0	18.3049	4.8956	3.2885	1.6878	1.7551
127	63687	1039	0	0	18.2604	4.6827	3.2844	1.7418	1.7762
128	63717	1075	0	0	18.1977	4.3854	3.2776	1.7915	1.7985
129	63750	1119	0	0	18.1441	4.1249	3.2737	1.8882	1.8208
130	63786	1162	0	0	18.0802	3.8234	3.2685	1.9455	1.8441
131	63827	1209	0	0	18.0178	3.5574	3.2613	2.0159	1.8681
132	63863	1250	0	0	17.9518	3.2831	3.2533	2.0623	1.8932
133	63908	1302	0	0	17.8912	3.0173	3.2489	2.1125	1.9181
134	63942	1341	0	0	17.8169	2.6655	3.2416	2.1392	1.9446
135	63985	1388	0	0	17.7583	2.4006	3.2378	2.1821	1.9705
136	64030	1444	0	0	17.6902	2.0970	3.2321	2.2340	1.9970
137	64082	1503	0	0	17.6106	1.7507	3.2241	2.2872	2.0253
138	64122	1549	0	0	17.5249	1.3967	3.2169	2.3272	2.0553
139	64176	1611	0	0	17.4572	0.0000	3.2117	2.3886	2.0851
140	64209	1650	0	0	17.3714	0.0000	3.2024	2.4283	2.1165
141	64250	1695	1	0	17.3138	0.0000	3.1988	2.4702	2.1460
142	64284	1731	5	0	17.2500	0.0000	3.1925	2.4725	2.1749
143	64320	1768	9	0	17.1984	0.0000	3.1877	2.4955	2.2020
144	64351	1800	13	0	17.1481	0.0000	3.1818	2.5118	2.2276
145	64383	1835	19	0	17.1058	0.0000	3.1764	2.4988	2.2513
146	64413	1861	27	0	17.0601	0.0000	3.1716	2.5096	2.2738
147	64451	1896	40	0	17.0261	0.0000	3.1662	2.4765	2.2944
148	64492	1938	48	0	16.9815	0.0000	3.1603	2.4620	2.3145
149	64539	1975	64	0	16.9297	0.0000	3.1529	2.4571	2.3354
150	64568	2003	75	0	16.8845	0.0000	3.1459	2.4288	2.3561
151	64593	2032	88	0	16.8515	0.0000	3.1393	2.3982	2.3754
152	64638	2074	96	0	16.8171	0.0000	3.1350	2.3915	2.3937
153	64671	2115	102	0	16.7683	0.0000	3.1266	2.3765	2.4130
154	64706	2154	110	0	16.7221	0.0000	3.1205	2.3656	2.4330
155	64745	2199	114	0	16.6762	0.0000	3.1138	2.3588	2.4534
156	64778	2231	120	0	16.6262	0.0000	3.1075	2.3659	2.4749
157	64818	2272	125	0	16.5914	0.0000	3.1017	2.3602	2.4955
158	64849	2305	132	0	16.5473	0.0000	3.0940	2.3432	2.5165
159	64889	2344	136	0	16.5120	0.0000	3.0881	2.3418	2.5368
160	64924	2383	140	0	16.4722	0.0000	3.0793	2.3256	2.5570
161	64963	2422	148	0	16.4327	0.0000	3.0716	2.3295	2.5772
162	64996	2451	159	0	16.3939	0.0000	3.0649	2.3290	2.5973
163	65030	2484	169	0	16.3642	0.0000	3.0574	2.3293	2.6160
164	65070	2523	174	0	16.3307	0.0000	3.0499	2.3110	2.6340
165	65114	2566	181	0	16.2911	0.0000	3.0426	2.3082	2.6524
166	65157	2614	184	0	16.2494	0.0000	3.0347	2.3053	2.6715
167	65204	2659	189	0	16.2022	0.0000	3.0269	2.3008	2.6920
168	65239	2703	186	0	16.1590	0.0000	3.0191	2.2964	2.7132
169	65274	2746	184	0	16.1176	0.0000	3.0124	2.2976	2.7347
170	65324	2795	189	0	16.0781	0.0000	3.0048	2.2872	2.7563
171	65375	2850	189	0	16.0330	0.0000	2.9936	2.2868	2.7785
172	65415	2886	200	0	15.9845	0.0000	2.9839	2.2756	2.8015
173	65448	2926	208	0	15.9517	0.0000	2.9779	2.2836	2.8230
174	65491	2972	215	0	15.9162	0.0000	2.9690	2.2749	2.8437
175	65534	3011	224	0	15.8756	0.0000	2.9607	2.2779	2.8646
